name,manufacturer,approval_status,generic_name,brand_price,generic_price
XYLOCAINE W/ EPINEPHRINE,FRESENIUS KABI USA,Approved,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,0,0
BENYLIN,PARKE DAVIS,Approved,DIPHENHYDRAMINE HYDROCHLORIDE,0,0
GANTRISIN,ROCHE,Approved,SULFISOXAZOLE,0,0
AVC,MEDA PHARMS,Approved,SULFANILAMIDE,0,0
URECHOLINE,ODYSSEY PHARMS,Approved,BETHANECHOL CHLORIDE,0,0
AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,MCGAW,Approved,AMMONIUM CHLORIDE,0,0
CAFERGOT,NOVARTIS,Approved,CAFFEINE; ERGOTAMINE TARTRATE,0,0
METUBINE IODIDE,LILLY,Approved,METOCURINE IODIDE,0,0
REDISOL,MERCK,Approved,CYANOCOBALAMIN,0,0
MUSTARGEN,RECORDATI RARE,Approved,MECHLORETHAMINE HYDROCHLORIDE,0,0
VASOXYL,GLAXOSMITHKLINE,Approved,METHOXAMINE HYDROCHLORIDE,0,0
ARTANE,LEDERLE,Approved,TRIHEXYPHENIDYL HYDROCHLORIDE,0,0
BERUBIGEN,PHARMACIA AND UPJOHN,Approved,CYANOCOBALAMIN,0,0
RUBRAMIN PC,BRISTOL MYERS SQUIBB,Approved,CYANOCOBALAMIN,0,0
PARADIONE,ABBVIE,Approved,PARAMETHADIONE,0,0
PARASAL,PANRAY,Approved,AMINOSALICYLIC ACID,0,0
PARASAL SODIUM,PANRAY,Approved,AMINOSALICYLATE SODIUM,0,0
AQUASOL A,HOSPIRA,Approved,VITAMIN A PALMITATE,0,0
PHISOHEX,SANOFI AVENTIS US,Approved,HEXACHLOROPHENE,0,0
TERFONYL,BRISTOL MYERS SQUIBB,Approved,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),0,0
NORISODRINE,ABBVIE,Approved,ISOPROTERENOL SULFATE,0,0
GANTRISIN,ROCHE,Approved,SULFISOXAZOLE DIOLAMINE,0,0
TRIPLE SULFAS,LEDERLE,Approved,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),0,0
CHLOR-TRIMETON,SCHERING,Approved,CHLORPHENIRAMINE MALEATE,0,0
EURAX,RANBAXY,Approved,CROTAMITON,0,0
SYNCURINE,GLAXOSMITHKLINE,Approved,DECAMETHONIUM BROMIDE,0,0
VI-TWEL,BAYER HLTHCARE,Approved,CYANOCOBALAMIN,0,0
AZULFIDINE,PHARMACIA AND UPJOHN,Approved,SULFASALAZINE,0,0
AZULFIDINE EN-TABS,PHARMACIA AND UPJOHN,Approved,SULFASALAZINE,0,0
CYANOCOBALAMIN,WARNER CHILCOTT,Approved,CYANOCOBALAMIN,0,0
CORTONE,MERCK,Approved,CORTISONE ACETATE,0,0
AEROLONE,LILLY,Approved,ISOPROTERENOL HYDROCHLORIDE,0,0
TEEBACIN,CONSOLIDATED MIDLAND,Approved,AMINOSALICYLATE SODIUM,0,0
PRONESTYL,APOTHECON,Approved,PROCAINAMIDE HYDROCHLORIDE,0,0
VERILOID,3M,Approved,ALKAVERVIR,0,0
PERCODAN-DEMI,ENDO PHARMS,Approved,ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,0,0
PERCODAN,ENDO PHARMS,Approved,ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,0,0
