""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","886","2022","VANCOMYCIN","INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 325.26(Each Vial)"
"","887","2022","VANCOMYCIN","INJECTION 250 MG","1575(E)","25-Mar-2026","₹ 257.28(Each Vial)"
"","888","2022","VECURONIUM","POWDER FOR INJECTION 4 MG","1575(E)","25-Mar-2026","₹ 76.18(Each Vial)"
"","889","2022","VECURONIUM","POWDER FOR INJECTION 10 MG","1575(E)","25-Mar-2026","₹ 120.18(Each Vial)"
"","890","2022","VERAPAMIL","TABLET 40 MG","1575(E)","25-Mar-2026","₹ 0.88(1 Tablet)"
"","891","2022","VERAPAMIL","TABLET 80 MG","1575(E)","25-Mar-2026","₹ 1.63(1 Tablet)"
"","892","2022","VINCRISTINE","INJECTION 1 MG","1575(E)","25-Mar-2026","₹ 58.90(1 ML)"
"","893","2022","VITAMIN A","INJECTION 50000 IU","1575(E)","25-Mar-2026","₹ 2.31(1 ML)"
"","894","2022","VITAMIN A","TABLET 50000 IU","1575(E)","25-Mar-2026","₹ 0.74(1 Tablet)"
"","895","2022","VITAMIN B1 PLAIN (WITH ADDITIVES)","INJECTION 100 MG","1575(E)","25-Mar-2026","₹ 27.34(1 ML)( Pack)"
"","896","2022","VITAMIN D3 (CHOLECALCIFEROL)","CAPSULE 60000 IU","1575(E)","25-Mar-2026","₹ 31.52(1 Capsule)"
"","897","2022","VITAMIN D3 (CHOLECALCIFEROL)","GRANULES 60000 IU","1575(E)","25-Mar-2026","₹ 34.79(1 GM)"
"","898","2022","VITAMIN D3 (CHOLECALCIFEROL)","CAPSULE 1000 IU","1575(E)","25-Mar-2026","₹ 5.01(1 Capsule)"
"","899","2022","VITAMIN D3 (CHOLECALCIFEROL)","TABLET 1000 IU","1575(E)","25-Mar-2026","₹ 4.42(1 Tablet)"
"","900","2022","VITAMIN D3 (CHOLECALCIFEROL)","SYRUP 400 IU","1575(E)","25-Mar-2026","₹ 2.68(1 ML)"
"","901","2022","VITAMIN D3 (CHOLECALCIFEROL)","TABLET 60000 IU","1575(E)","25-Mar-2026","₹ 23.04(1 Tablet)"
"","902","2022","VITAMIN D3 (CHOLECALCIFEROL)","GRANULES 1000 IU","1575(E)","25-Mar-2026","₹ 23.69(1 GM)"
"","903","2022","WARFARIN","TABLET 1 MG","1575(E)","25-Mar-2026","₹ 2.52(1 Tablet)"
"","904","2022","WARFARIN","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 2.46(1 Tablet)"
"","905","2022","WARFARIN","TABLET 3 MG","1575(E)","25-Mar-2026","₹ 3.26(1 Tablet)"
"","906","2022","WARFARIN","TABLET 2 MG","1575(E)","25-Mar-2026","₹ 2.79(1 Tablet)"
"","907","2022","WATER FOR INJECTION","INJECTION --","1575(E)","25-Mar-2026","₹ 2.48(10 ml Pack)( Pack)"
"","908","2022","XYLOMETAZOLINE","NASAL DROPS 0.05 %","1575(E)","25-Mar-2026","₹ 4.29(1 ML)"
"","909","2022","XYLOMETAZOLINE","NASAL DROPS 0.1 %","1575(E)","25-Mar-2026","₹ 5.24(1 ML)"
"","910","2022","ZIDOVUDINE","TABLET 300 MG","1575(E)","25-Mar-2026","₹ 13.92(1 Tablet)"
"","911","2022","ZIDOVUDINE (A) + LAMIVUDINE (B) +
NEVIRAPINE (C)","TABLET 300 MG(A) + 150 MG(B) + 200 MG(C)","1575(E)","25-Mar-2026","₹ 21.64(1 Tablet)"
"","912","2022","ZINC SULPHATE","DISPERSIBLE TABLET 20 MG","1575(E)","25-Mar-2026","₹ 3.49(1 Tablet)"
"","913","2022","ZOLEDRONIC ACID","POWDER FOR INJECTION 4 MG","1575(E)","25-Mar-2026","₹ 2449.49(Each Vial)"
"","914","2022","ZOLPIDEM","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 8.72(1 Tablet)"
"","915","2022","ZOLPIDEM","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 6.36(1 Tablet)"
