""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","303","2022","CETIRIZINE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 1.92(1 Tablet)"
"","304","2022","CHLORAMBUCIL","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 79.06(1 Tablet)"
"","305","2022","CHLORAMBUCIL","TABLET 2 MG","1575(E)","25-Mar-2026","₹ 31.91(1 Tablet)"
"","306","2022","CHLOROQUINE","TABLET 150 MG","1575(E)","25-Mar-2026","₹ 1.36(1 Tablet)( Pack)"
"","307","2022","CHLOROQUINE","SUSPENSION 50 MG","1575(E)","25-Mar-2026","₹ 0.35(1 ML)"
"","308","2022","CIPROFLOXACIN","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 4.35(1 Tablet)"
"","309","2022","CIPROFLOXACIN","OINTMENT 0.3 %","1575(E)","25-Mar-2026","₹ 1.32(1 GM)"
"","310","2022","CIPROFLOXACIN","DROPS 0.3 %","1575(E)","25-Mar-2026","₹ 1.58(1 ML)"
"","311","2022","CIPROFLOXACIN","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 2.25(1 Tablet)"
"","312","2022","CIPROFLOXACIN","ORAL SUSPENSION 250 MG","1575(E)","25-Mar-2026","₹ 0.75(1 ML)"
"","313","2022","CIPROFLOXACIN","INJECTION 200 MG/ 100 ML","1575(E)","25-Mar-2026","₹ 0.20(1 ML)"
"","314","2022","CISPLATIN","INJECTION 1 MG","1575(E)","25-Mar-2026","₹ 7.26(1 ML)"
"","315","2022","CLARITHROMYCIN","SUSPENSION 125 MG","1575(E)","25-Mar-2026","₹ 4.76(1 ML)( Pack)"
"","316","2022","CLARITHROMYCIN","TABLET 500 MG","1575(E)","25-Mar-2026","₹ 40.79(1 Tablet)"
"","317","2022","CLARITHROMYCIN","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 24.64(1 Tablet)( Pack)"
"","318","2022","CLINDAMYCIN","TABLET 300 MG","1575(E)","25-Mar-2026","₹ 19.43(1 Tablet)"
"","319","2022","CLINDAMYCIN","INJECTION 150 MG","1575(E)","25-Mar-2026","₹ 62.05(1 ML)"
"","320","2022","CLINDAMYCIN","CAPSULE 300 MG","1575(E)","25-Mar-2026","₹ 29.05(1 Capsule)"
"","321","2022","CLINDAMYCIN","CAPSULE 150 MG","1575(E)","25-Mar-2026","₹ 16.75(1 Capsule)"
"","322","2022","CLOBAZAM","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 5.87(1 Tablet)"
"","323","2022","CLOBAZAM","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 10.08(1 Tablet)"
"","324","2022","CLOFAZIMINE","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 4.08(1 Capsule)"
"","325","2022","CLOFAZIMINE","CAPSULE 50 MG","1575(E)","25-Mar-2026","₹ 2.16(1 Capsule)"
"","326","2022","CLOMIFENE","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 52.37(1 Capsule)"
"","327","2022","CLOMIFENE","CAPSULE 50 MG","1575(E)","25-Mar-2026","₹ 28.03(1 Capsule)"
"","328","2022","CLOMIPHENE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 14.28(1 Tablet)"
"","329","2022","CLOMIPHENE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 9.05(1 Tablet)"
"","330","2022","CLOMIPRAMINE","TABLET 75 MG","1575(E)","25-Mar-2026","₹ 16.86(1 Tablet)"
"","331","2022","CLOMIPRAMINE","TABLET 25 MG","1575(E)","25-Mar-2026","₹ 6.37(1 Tablet)"
"","332","2022","CLOMIPRAMINE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 2.92(1 Tablet)"
"","333","2022","CLONAZEPAM","TABLET 1 MG","1575(E)","25-Mar-2026","₹ 4.88(1 Tablet)"
"","334","2022","CLONAZEPAM","TABLET 0.25 MG","1575(E)","25-Mar-2026","₹ 2.07(1 Tablet)"
"","335","2022","CLONAZEPAM","TABLET 0.5 MG","1575(E)","25-Mar-2026","₹ 3.53(1 Tablet)"
"","336","2022","CLOPIDOGREL","TABLET 150 MG","1575(E)","25-Mar-2026","₹ 20.98(1 Tablet)"
"","337","2022","CLOPIDOGREL","TABLET 75 MG","1575(E)","25-Mar-2026","₹ 6.82(1 Tablet)"
"","338","2022","CLOTRIMAZOLE","PESSARY 100 MG","1575(E)","25-Mar-2026","₹ 10.25(1 Pessary)"
"","339","2022","CLOTRIMAZOLE","LOTION 1 %","1575(E)","25-Mar-2026","₹ 3.99(1 ML)"
"","340","2022","CLOTRIMAZOLE","EAR DROPS 1 %","1575(E)","25-Mar-2026","₹ 3.45(1 ML)"
"","341","2022","CLOTRIMAZOLE","CREAM 1 %","1575(E)","25-Mar-2026","₹ 3.07(1 GM)"
"","342","2022","CLOXACILLIN","CAPSULE 250 MG","1575(E)","25-Mar-2026","₹ 1.44(1 Capsule)"
"","343","2022","CLOXACILLIN","CAPSULE 500 MG","1575(E)","25-Mar-2026","₹ 2.44(1 Capsule)"
"","344","2022","CLOZAPINE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 8.66(1 Tablet)"
"","345","2022","CLOZAPINE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 5.31(1 Tablet)"
"","346","2022","CLOZAPINE","TABLET 25 MG","1575(E)","25-Mar-2026","₹ 2.85(1 Tablet)"
"","347","2022","COLCHICINE","TABLET 0.5 MG","1575(E)","25-Mar-2026","₹ 3.34(1 Tablet)"
"","348","2022","CO-TRIMOXAZOLE (SULPHAMETHOXAZOLE(A)+TRIMETHOPRIM(B)]","TABLET 800 MG(A)+160
MG(B)","1575(E)","25-Mar-2026","₹ 2.36(1 Tablet)"
"","349","2022","CO-TRIMOXAZOLE (SULPHAMETHOXAZOLE(A)+TRIMETHOPRIM(B)]","TABLET 400 MG(A)+80
MG(B)","1575(E)","25-Mar-2026","₹ 0.93(1 Tablet)"
"","350","2022","CYCLOPHOSPHAMIDE","POWDER FOR INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 75.25(Each Vial)"
"","351","2022","CYCLOPHOSPHAMIDE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 3.81(1 Tablet)"
"","352","2022","CYCLOSERINE","CAPSULE 250 MG","1575(E)","25-Mar-2026","₹ 60.61(1 Capsule)"
"","353","2022","CYCLOSERINE","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 47.11(1 Tablet)"
"","354","2022","CYCLOSPORINE","CAPSULE 25 MG","1575(E)","25-Mar-2026","₹ 28.72(1 Capsule)"
"","355","2022","CYCLOSPORINE","ORAL LIQUID 100 MG/ML","1575(E)","25-Mar-2026","₹ 82.51(1 ML)"
"","356","2022","CYCLOSPORINE","CAPSULE 50 MG","1575(E)","25-Mar-2026","₹ 56.43(1 Capsule)"
"","357","2022","CYCLOSPORINE","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 105.59(1 Capsule)"
"","358","2022","Cytosine arabinoside","INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 549.20(Each Vial)"
"","359","2022","Cytosine arabinoside","INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 1157.47(Each Vial)"
"","360","2022","Cytosine arabinoside","INJECTION 100 MG","1575(E)","25-Mar-2026","₹ 142.94(Each Vial)"
"","361","2022","DABIGATRAN","CAPSULE 150 MG","1575(E)","25-Mar-2026","₹ 36.45(1 Capsule)"
"","362","2022","DABIGATRAN","CAPSULE 110 MG","1575(E)","25-Mar-2026","₹ 32.57(1 Capsule)"
"","363","2022","DACARBAZINE","POWDER FOR INJECTION 200 MG","1575(E)","25-Mar-2026","₹ 390.91(Each Vial)"
"","364","2022","DACARBAZINE","POWDER FOR INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 531.29(Each Vial)"
"","365","2022","DACLATASVIR","TABLET 60 MG","1575(E)","25-Mar-2026","₹ 204.77(1 Tablet)"
"","366","2022","DAPSONE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 0.42(1 Tablet)"
"","367","2022","DARUNAVIR","TABLET 600 MG","1575(E)","25-Mar-2026","₹ 158.15(1 Tablet)"
"","368","2022","DARUNAVIR + RITONAVIR","TABLET 600/100 MG","1575(E)","25-Mar-2026","₹ 149.98(1 Tablet)"
"","369","2022","DESFERRIOXAMINE","POWDER FOR INJECTION 500 MG","1575(E)","25-Mar-2026","₹ 289.77(Each Vial)( Pack)"
"","370","2022","DEXAMETHASONE","INJECTION 4 MG/ML","1575(E)","25-Mar-2026","₹ 1.38(Each Pack (20 ml))"
"","371","2022","DEXAMETHASONE","TABLET 0.5 MG","1575(E)","25-Mar-2026","₹ 0.22(1 Tablet)"
"","372","2022","DEXAMETHASONE","TABLET 4 MG","1575(E)","25-Mar-2026","₹ 4.73(1 Tablet)"
"","373","2022","DEXAMETHASONE","INJECTION 4 MG/ML","1575(E)","25-Mar-2026","₹ 1.61(10 ml Pack)"
"","374","2022","DEXAMETHASONE","INJECTION 4 MG/ML","1575(E)","25-Mar-2026","₹ 2.63(1 ML)"
"","375","2022","DEXAMETHASONE","INJECTION 4 MG/ML","1575(E)","25-Mar-2026","₹ 5.21(2 ML Pack)"
"","376","2022","DEXAMETHASONE","INJECTION 4 MG/ML","1575(E)","25-Mar-2026","₹ 0.93(Each Pack (30 ml))"
"","377","2022","DIAZEPAM","INJECTION 5 MG/ML","1575(E)","25-Mar-2026","₹ 5.68(1 ML)"
"","378","2022","DIAZEPAM","TABLET 2 MG","1575(E)","25-Mar-2026","₹ 1.48(1 Tablet)"
"","379","2022","DIAZEPAM","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 1.67(1 Tablet)"
"","380","2022","DIAZEPAM","SUPPOSITORY 5 MG","1575(E)","25-Mar-2026","₹ 6.34(1 Suppository)"
"","381","2022","DICLOFENAC","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 2.10(1 Tablet)"
"","382","2022","DICLOFENAC","INJECTION 25 MG/ML","1575(E)","25-Mar-2026","₹ 1.73(1 ML)"
"","383","2022","DICYCLOMINE","INJECTION 10 MG","1575(E)","25-Mar-2026","₹ 2.15(1 ML (10 ML & more pack))"
"","384","2022","DICYCLOMINE","INJECTION 10 MG","1575(E)","25-Mar-2026","₹ 3.40(1 ML (Less than 10 ML Pack))"
"","385","2022","DIETHYLCARBAMAZINE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 0.57(1 Tablet)"
"","386","2022","DIETHYLCARBAMAZINE","SYRUP 120 MG","1575(E)","25-Mar-2026","₹ 0.49(1 ML)"
"","387","2022","DIETHYLCARBAMAZINE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 1.71(1 Tablet)"
"","388","2022","DIGOXIN","ORAL LIQUID 0.05 MG/ML","1575(E)","25-Mar-2026","₹ 1.51(1 ML)"
"","389","2022","DIGOXIN","TABLET 0.25 MG","1575(E)","25-Mar-2026","₹ 1.36(1 Tablet)"
"","390","2022","DIGOXIN","INJECTION 0.25 MG/ML","1575(E)","25-Mar-2026","₹ 3.97(1 ML)"
"","391","2022","DILTIAZEM","TABLET 60 MG","1575(E)","25-Mar-2026","₹ 5.60(1 Tablet)"
"","392","2022","DILTIAZEM","TABLET 30 MG","1575(E)","25-Mar-2026","₹ 2.75(1 Tablet)"
"","393","2022","DILTIAZEM","INJECTION 5 MG/ML","1575(E)","25-Mar-2026","₹ 3.58(1 ML)"
"","394","2022","DILTIAZEM","MODIFIED RELEASE CAPSULE 180 MG","1575(E)","25-Mar-2026","₹ 26.89(1 Capsule)( Pack)"
"","395","2022","DINOPROSTONE","GEL 0.5 MG","1575(E)","25-Mar-2026","₹ 86.75(1 GM)"
"","396","2022","DOBUTAMINE","INJECTION 50 MG/ML","1575(E)","25-Mar-2026","₹ 9.25(1 ML)"
"","397","2022","DOCETAXEL","POWDER FOR INJECTION 20 MG","1575(E)","25-Mar-2026","₹ 2937.26(Each Vial)"
"","398","2022","DOCETAXEL","POWDER FOR INJECTION 80 MG","1575(E)","25-Mar-2026","₹ 10581.80(Each Vial)"
"","399","2022","DOLUTEGRAVIR","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 115.49(1 Tablet)"
"","400","2022","DOLUTEGRAVIR + LAMIVUDINE + TENOFOVIR","TABLET 50/300/300 MG","1575(E)","25-Mar-2026","₹ 117.74(1 Tablet)"
"","401","2022","DOMPERIDONE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 2.37(1 Tablet)"
"","402","2022","DOMPERIDONE","ORAL LIQUID 1 MG/ML","1575(E)","25-Mar-2026","₹ 1.27(1 ML)"
"","403","2022","DONEPEZIL","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 17.88(1 Tablet)"
"","404","2022","DONEPEZIL","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 12.40(1 Tablet)"
"","405","2022","DOPAMINE","INJECTION 40 MG/ML","1575(E)","25-Mar-2026","₹ 4.88(1 ML)"
"","406","2022","DOXORUBICIN","INJECTION 2 MG/ML","1575(E)","25-Mar-2026","₹ 32.51(1 ML)"
"","407","2022","DOXYCYCLINE","INJECTION 100 MG","1575(E)","25-Mar-2026","₹ 514.70(Each Vial)"
"","408","2022","DOXYCYCLINE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 1.25(1 Tablet)"
"","409","2022","DOXYCYCLINE","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 3.15(1 Capsule)"
"","410","2022","DPT + Hib + Hep B","VACCINE --","1575(E)","25-Mar-2026","₹ 77.47(Per 0.1 ml)"
"","411","2022","EFAVIRENZ","CAPSULE 200 MG","1575(E)","25-Mar-2026","₹ 22.51(1 Capsule)"
"","412","2022","EFAVIRENZ","TABLET 600 MG","1575(E)","25-Mar-2026","₹ 72.29(1 Tablet)"
"","413","2022","EFAVIRENZ","CAPSULE 600 MG","1575(E)","25-Mar-2026","₹ 57.03(1 Capsule)"
"","414","2022","EFAVIRENZ","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 23.08(1 Tablet)"
"","415","2022","ENALAPRIL","TABLET 2.5 MG","1575(E)","25-Mar-2026","₹ 2.24(1 Tablet)"
"","416","2022","ENALAPRIL","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 3.78(1 Tablet)"
"","417","2022","ENOXAPARIN","INJECTION 60 MG/ 0.6 ML","1575(E)","25-Mar-2026","₹ 114.67(0.1 ml)"
"","418","2022","ENOXAPARIN","INJECTION 40 MG/ 0.4 ML","1575(E)","25-Mar-2026","₹ 114.67(0.1 ml)"
"","419","2022","ENTECAVIR","TABLET 1 MG","1575(E)","25-Mar-2026","₹ 133.36(1 Tablet)"
"","420","2022","ENTECAVIR","TABLET 0.5 MG","1575(E)","25-Mar-2026","₹ 86.47(1 Tablet)"
"","421","2022","ERYTHROPOIETIN","INJECTION 10000 IU/ML","1575(E)","25-Mar-2026","₹ 2016.38(1 ML)"
"","422","2022","ERYTHROPOIETIN","INJECTION 2000 IU/ML","1575(E)","25-Mar-2026","₹ 562.77(1 ML)"
"","423","2022","ESCITALOPRAM","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 5.14(1 Tablet)"
"","424","2022","ESCITALOPRAM","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 9.22(1 Tablet)"
"","425","2022","ESCITALOPRAM","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 14.70(1 Tablet)"
"","426","2022","ESMOLOL","INJECTION 10 MG/ML","1575(E)","25-Mar-2026","₹ 27.01(1 ML)"
"","427","2022","ETHAMBUTOL","TABLET 600 MG","1575(E)","25-Mar-2026","₹ 4.18(1 Tablet)"
"","428","2022","ETHAMBUTOL","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 1.17(1 Tablet)"
"","429","2022","ETHAMBUTOL","TABLET 800 MG","1575(E)","25-Mar-2026","₹ 5.08(1 Tablet)"
"","430","2022","ETHAMBUTOL","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 2.68(1 Tablet)"
"","431","2022","ETHINYLESTRADIOL (A)+LEVONORGESTREL (B)","TABLET 0.03 MG(A) + 0.15
MG(B)","1575(E)","25-Mar-2026","₹ 3.25(1 Tablet)"
"","432","2022","ETHIONAMIDE","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 15.17(1 Tablet)"
"","433","2022","Ethyl Alcohol (Denatured)","SOLUTION 70 %","1575(E)","25-Mar-2026","₹ 0.40(1 ML)"
"","434","2022","ETOPOSIDE","CAPSULE 50 MG","1575(E)","25-Mar-2026","₹ 57.99(1 Capsule)"
"","435","2022","ETOPOSIDE","INJECTION 20 MG/ML","1575(E)","25-Mar-2026","₹ 35.34(1 ML)"
"","436","2022","FENTANYL","INJECTION 50 MCG/ML","1575(E)","25-Mar-2026","₹ 21.46(1 ML)"
"","437","2022","FILGRASTIM","INJECTION 300 MCG","1575(E)","25-Mar-2026","₹ 1187.83(Each Vial)"
"","438","2022","FLUCONAZOLE","TABLET 100 MG","1575(E)","25-Mar-2026","₹ 7.80(1 Tablet)"
"","439","2022","FLUCONAZOLE","INJECTION 200 MG/ 100 ML","1575(E)","25-Mar-2026","₹ 94.55(Each Vial)"
"","440","2022","FLUCONAZOLE","CAPSULE 200 MG","1575(E)","25-Mar-2026","₹ 41.08(1 Capsule)"
"","441","2022","FLUCONAZOLE","CAPSULE 150 MG","1575(E)","25-Mar-2026","₹ 19.68(1 Capsule)"
"","442","2022","FLUCONAZOLE","CAPSULE 100 MG","1575(E)","25-Mar-2026","₹ 21.91(1 Capsule)"
"","443","2022","FLUCONAZOLE","TABLET 50 MG","1575(E)","25-Mar-2026","₹ 9.91(1 Tablet)"
"","444","2022","FLUCONAZOLE","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 30.47(1 Tablet)"
"","445","2022","FLUCONAZOLE","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 17.88(1 Tablet)"
"","446","2022","FLUCONAZOLE","TABLET 150 MG","1575(E)","25-Mar-2026","₹ 12.35(1 Tablet)"
"","447","2022","FLUDROCORTISONE","TABLET 100 MCG","1575(E)","25-Mar-2026","₹ 13.52(1 Tablet)"
"","448","2022","FLUNARIZINE","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 2.54(1 Tablet)"
"","449","2022","FLUNARIZINE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 4.93(1 Tablet)"
"","450","2022","FLUOXETINE","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 4.25(1 Tablet)"
"","451","2022","FLUOXETINE","TABLET 60 MG","1575(E)","25-Mar-2026","₹ 8.44(1 Tablet)"
"","452","2022","FLUOXETINE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 2.85(1 Tablet)"
"","453","2022","FLUOXETINE","TABLET 40 MG","1575(E)","25-Mar-2026","₹ 5.70(1 Tablet)"
"","454","2022","FLUOXETINE","CAPSULE 40 MG","1575(E)","25-Mar-2026","₹ 6.64(1 Capsule)"
"","455","2022","FLUOXETINE","CAPSULE 10 MG","1575(E)","25-Mar-2026","₹ 3.40(1 Capsule)"
"","456","2022","FLUOXETINE","CAPSULE 60 MG","1575(E)","25-Mar-2026","₹ 11.36(1 Capsule)"
"","457","2022","FLUOXETINE","CAPSULE 20 MG","1575(E)","25-Mar-2026","₹ 4.09(1 Capsule)"
"","458","2022","FLUPHENAZINE","INJECTION 25 MG","1575(E)","25-Mar-2026","₹ 56.59(1 ML)"
"","459","2022","FOLIC ACID","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 1.55(1 Tablet)"
"","460","2022","FOLIC ACID","CAPSULE 5 MG","1575(E)","25-Mar-2026","₹ 5.16(1 Capsule)"
"","461","2022","FORMOTERAL + BUDESONIDE","CAPSULE 6/100 MCG","1575(E)","25-Mar-2026","₹ 4.43(Per Dose)"
"","462","2022","FORMOTERAL + BUDESONIDE","INHALER 6/400 MCG","1575(E)","25-Mar-2026","₹ 3.45(Per Metered Dose)( Pack)"
"","463","2022","FORMOTERAL + BUDESONIDE","INHALER 6/400 MCG","1575(E)","25-Mar-2026","₹ 7.12(Per Dose)"
"","464","2022","FORMOTERAL + BUDESONIDE","INHALER 6/200 MCG","1575(E)","25-Mar-2026","₹ 3.03(Per Metered Dose)( Pack)"
"","465","2022","FORMOTERAL + BUDESONIDE","INHALER 6/200 MCG","1575(E)","25-Mar-2026","₹ 5.86(Per Dose)"
"","466","2022","FORMOTERAL + BUDESONIDE","INHALER 6/100 MCG","1575(E)","25-Mar-2026","₹ 2.17(Per Metered Dose)"
"","467","2022","FRAMYCETIN","CREAM 1 %","1575(E)","25-Mar-2026","₹ 1.70(1 GM)"
"","468","2022","FUROSEMIDE","INJECTION 10 MG/ML","1575(E)","25-Mar-2026","₹ 3.06(1 ML)"
"","469","2022","FUROSEMIDE","TABLET 40 MG","1575(E)","25-Mar-2026","₹ 0.94(1 Tablet)"
"","470","2022","FUROSEMIDE","ORAL LIQUID 10 MG/ML","1575(E)","25-Mar-2026","₹ 3.40(1 ML)"
"","471","2022","FUSIDIC ACID","CREAM 2 %","1575(E)","25-Mar-2026","₹ 10.06(1 GM)"
"","472","2022","GEFITINIB","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 242.84(1 Tablet)"
"","473","2022","GEMCITABINE","POWDER FOR INJECTION 1000 MG","1575(E)","25-Mar-2026","₹ 5726.83(Each Vial)"
"","474","2022","GEMCITABINE","POWDER FOR INJECTION 200 MG","1575(E)","25-Mar-2026","₹ 1331.01(Each Vial)"
"","475","2022","GENTAMICIN","INJECTION 40 MG","1575(E)","25-Mar-2026","₹ 1.55(Each Pack (10 ML))"
"","476","2022","GENTAMICIN","INJECTION 40 MG","1575(E)","25-Mar-2026","₹ 4.96(2 ML Pack)"
"","477","2022","GENTAMICIN","INJECTION 40 MG","1575(E)","25-Mar-2026","₹ 2.97(1 ML)"
"","478","2022","GENTAMICIN","INJECTION 10 MG","1575(E)","25-Mar-2026","₹ 2.47(1 ML)"
"","479","2022","GENTAMICIN","INJECTION 40 MG","1575(E)","25-Mar-2026","₹ 1.59(Each Pack (20 ml))"
"","480","2022","GENTAMICIN","INJECTION 40 MG","1575(E)","25-Mar-2026","₹ 1.26(Each Pack (30 ml))"
"","481","2022","GLARGINE","DISPOSABLE PEN 100 IU","1575(E)","25-Mar-2026","₹ 250.00(1 ML)"
"","482","2022","GLARGINE","INJECTION 100 IU","1575(E)","25-Mar-2026","₹ 208.34(1 ML)"
"","483","2022","GLIMEPIRIDE","TABLET 1 MG","1575(E)","25-Mar-2026","₹ 3.78(1 Tablet)"
"","484","2022","GLIMEPIRIDE","TABLET 2 MG","1575(E)","25-Mar-2026","₹ 5.94(1 Tablet)"
"","485","2022","GLUCOSE","INFUSION 25 %","1575(E)","25-Mar-2026","₹ 0.20(1 ML)"
"","486","2022","GLYCEROL","CREAM 15 %","1575(E)","25-Mar-2026","₹ 2.43(1 GM)"
"","487","2022","GLYCEROL","LOTION 15 %","1575(E)","25-Mar-2026","₹ 1.26(1 ML)"
"","488","2022","GLYCERYL TRINITRATE","SUBLINGUAL TABLET 0.5 MG","1575(E)","25-Mar-2026","₹ 1.30(1 Tablet)"
"","489","2022","GLYCERYL TRINITRATE","INJECTION 5 MG/ML","1575(E)","25-Mar-2026","₹ 6.34(1 ML)"
"","490","2022","GLYCOPYRROLATE","INJECTION 0.2 MG/ML","1575(E)","25-Mar-2026","₹ 14.88(1 ML)"
"","491","2022","GRISEOFULVIN","TABLET 250 MG","1575(E)","25-Mar-2026","₹ 1.81(1 Tablet)"
"","492","2022","HALOPERIDOL","LIQUID 2 MG","1575(E)","25-Mar-2026","₹ 2.29(1 ML)"
"","493","2022","HALOPERIDOL","INJECTION 5 MG/ML","1575(E)","25-Mar-2026","₹ 6.66(1 ML)"
"","494","2022","HALOPERIDOL","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 3.65(1 Tablet)"
"","495","2022","HALOPERIDOL","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 4.89(1 Tablet)"
"","496","2022","HALOPERIDOL","TABLET 1.5 MG","1575(E)","25-Mar-2026","₹ 1.62(1 Tablet)"
"","497","2022","HALOPERIDOL","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 5.49(1 Tablet)"
"","498","2022","HALOTHANE","LIQUID 100 %","1575(E)","25-Mar-2026","₹ 6.25(1 ML)"
"","499","2022","HEPATITIS B","VACCINE --","1575(E)","25-Mar-2026","₹ 80.71(1 ML)"
"","500","2022","HEPATITIS IMMUNOGLOBULIN","INJECTION --","1575(E)","25-Mar-2026","₹ 5630.73(Each Vial)"
"","501","2022","HOMATROPINE EYE DROPS / OINTMENT","EYE DROPS 2 %","1575(E)","25-Mar-2026","₹ 6.55(1 ML)"
"","502","2022","HORMONE RELEASING IUD","DEVICE CONTAINS 52 MGOF
LEVONORGESTREL","1575(E)","25-Mar-2026","₹ 4202.05(1 IUD)"
"","503","2022","HUMAN CHORIONIC GONADOTROPIN","INJECTION 2000 IU","1575(E)","25-Mar-2026","₹ 351.90(Each Vial)"
"","504","2022","HUMAN CHORIONIC GONADOTROPIN","INJECTION 5000 IU/ML","1575(E)","25-Mar-2026","₹ 427.50(Each Vial)"
"","505","2022","HUMAN CHORIONIC GONADOTROPIN","INJECTION 10000 IU","1575(E)","25-Mar-2026","₹ 950.59(Each Vial)"
"","506","2022","Human Normal Immunoglobulin","INFUSION 5 %","1575(E)","25-Mar-2026","₹ 149.57(1 ML)"
"","507","2022","Human Normal Immunoglobulin","INFUSION 10 %","1575(E)","25-Mar-2026","₹ 207.87(1 ML)"
"","508","2022","Human Normal Immunoglobulin","INFUSION 16.5 %","1575(E)","25-Mar-2026","₹ 481.68(1 ML)"
"","509","2022","HUMAN PREMIX INSULIN","INJECTION 40 IU","1575(E)","25-Mar-2026","₹ 17.40(1 ML)"
"","510","2022","HYDROCHLOROTHIAZIDE","TABLET 25 MG","1575(E)","25-Mar-2026","₹ 1.79(1 Tablet)"
"","511","2022","HYDROCHLOROTHIAZIDE","TABLET 12.5 MG","1575(E)","25-Mar-2026","₹ 1.07(1 Tablet)"
"","512","2022","HYDROCORTISONE","TABLET 20 MG","1575(E)","25-Mar-2026","₹ 15.25(1 Tablet)"
"","513","2022","HYDROCORTISONE","TABLET 10 MG","1575(E)","25-Mar-2026","₹ 6.86(1 Tablet)"
"","514","2022","HYDROCORTISONE","TABLET 5 MG","1575(E)","25-Mar-2026","₹ 3.19(1 Tablet)"
"","515","2022","HYDROCORTISONE","POWDER FOR INJECTION 100 MG","1575(E)","25-Mar-2026","₹ 45.87(Each Vial)"
"","516","2022","HYDROCORTISONE","INJECTION 200 MG","1575(E)","25-Mar-2026","₹ 67.17(Each Vial)"
"","517","2022","HYDROXYCHLOROQUINE","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 6.51(1 Tablet)"
"","518","2022","HYDROXYCHLOROQUINE","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 14.13(1 Tablet)"
"","519","2022","HYDROXY PROPYL METHYL CELLULOSE (2 % W/ V)","PREFILLED SYRINGE --","1575(E)","25-Mar-2026","₹ 29.91(1 ML)"
"","520","2022","HYDROXYUREA","CAPSULE 500 MG","1575(E)","25-Mar-2026","₹ 12.41(1 Capsule)"
"","521","2022","HYOSCINE","INJECTION 20 MG","1575(E)","25-Mar-2026","₹ 11.51(1 ML)"
"","522","2022","IBUPROFEN","TABLET 400 MG","1575(E)","25-Mar-2026","₹ 1.23(1 Tablet)"
"","523","2022","IBUPROFEN","CAPSULE 400 MG","1575(E)","25-Mar-2026","₹ 1.34(1 Capsule)"
"","524","2022","IBUPROFEN","TABLET 200 MG","1575(E)","25-Mar-2026","₹ 0.72(1 Tablet)"
